zipCode,lat,lng,CityName,StatCode
601,18.18004,-66.75218,Adjuntas,PR
602,18.36073,-67.17517,Aguada,PR
603,18.45439,-67.12202,Aguadilla,PR
606,18.16724,-66.93828,Maricao,PR
610,18.29032,-67.12243,Anasco,PR
612,18.40699,-66.70803,Arecibo,PR
616,18.41753,-66.66814,Bajadero,PR
617,18.44124,-66.55917,Barceloneta,PR
622,17.99174,-67.15248,Boqueron,PR
623,18.08355,-67.15417,Cabo Rojo,PR
624,18.06465,-66.71823,Penuelas,PR
627,18.419,-66.86033,Camuy,PR
631,18.18555,-66.83327,Castaner,PR
637,18.07982,-66.94274,Sabana Grande,PR
638,18.28904,-66.5151,Ciales,PR
641,18.26408,-66.71376,Utuado,PR
646,18.43401,-66.2833,Dorado,PR
647,17.96612,-66.94383,Ensenada,PR
650,18.34321,-66.58601,Florida,PR
652,18.45542,-66.60635,Garrochales,PR
653,17.98574,-66.89033,Guanica,PR
656,18.0528,-66.79182,Guayanilla,PR
659,18.41069,-66.79648,Hatillo,PR
660,18.13418,-67.11402,Hormigueros,PR
662,18.46208,-67.01445,Isabela,PR
664,18.21152,-66.5889,Jayuya,PR
667,18.01227,-67.04089,Lajas,PR
669,18.27102,-66.86982,Lares,PR
670,18.23777,-66.98877,Las Marias,PR
674,18.42123,-66.49004,Manati,PR
676,18.3779,-67.08083,Moca,PR
677,18.3357,-67.23168,Rincon,PR
678,18.43269,-66.92812,Quebradillas,PR
680,18.16327,-67.36195,Mayaguez,PR
682,18.22117,-67.1538,Mayaguez,PR
683,18.10998,-67.0373,San German,PR
685,18.33625,-66.97225,San Sebastian,PR
687,18.31708,-66.4203,Morovis,PR
688,18.38056,-66.62425,Sabana Hoyos,PR
690,18.49567,-67.09825,San Antonio,PR
692,18.40845,-66.33691,Vega Alta,PR
693,18.42132,-66.40012,Vega Baja,PR
694,18.48329,-66.39261,Vega Baja,PR
698,18.06728,-66.85273,Yauco,PR
703,18.24841,-66.13119,Aguas Buenas,PR
704,17.96719,-66.22017,Aguirre,PR
705,18.12946,-66.26477,Aibonito,PR
707,18.01814,-65.92201,Maunabo,PR
714,17.99854,-66.05606,Arroyo,PR
715,18.01172,-66.55985,Mercedita,PR
716,17.9994,-66.60007,Ponce,PR
717,18.00333,-66.61331,Ponce,PR
718,18.2333,-65.76108,Naguabo,PR
719,18.2888,-66.25336,Naranjito,PR
720,18.21772,-66.42817,Orocovis,PR
723,18.03237,-66.01233,Patillas,PR
725,18.21858,-66.04275,Caguas,PR
727,18.21495,-66.07356,Caguas,PR
728,18.00627,-66.6612,Ponce,PR
729,18.33114,-65.88722,Canovanas,PR
730,18.03091,-66.61659,Ponce,PR
731,18.09775,-66.63355,Ponce,PR
735,18.25365,-65.68306,Ceiba,PR
736,18.10652,-66.15258,Cayey,PR
738,18.31828,-65.66785,Fajardo,PR
739,18.17681,-66.16055,Cidra,PR
740,18.33221,-65.63431,Puerto Real,PR
741,18.16564,-65.75563,Punta Santiago,PR
745,18.34827,-65.8172,Rio Grande,PR
751,18.01023,-66.24751,Salinas,PR
754,18.1457,-65.97607,San Lorenzo,PR
757,17.99727,-66.38891,Santa Isabel,PR
765,18.12851,-65.44093,Vieques,PR
766,18.13299,-66.47703,Villalba,PR
767,18.07053,-65.89604,Yabucoa,PR
769,18.097,-66.36101,Coamo,PR
771,18.18748,-65.86931,Las Piedras,PR
772,18.43267,-65.90836,Loiza,PR
773,18.34173,-65.7274,Luquillo,PR
775,18.31347,-65.29017,Culebra,PR
777,18.22356,-65.90881,Juncos,PR
778,18.26338,-65.97936,Gurabo,PR
780,18.10417,-66.57174,Coto Laurel,PR
782,18.22544,-66.22216,Comerio,PR
783,18.3041,-66.32847,Corozal,PR
784,18.00543,-66.13392,Guayama,PR
786,18.15536,-66.22992,La Plata,PR
791,18.14069,-65.818,Humacao,PR
794,18.20155,-66.30872,Barranquitas,PR
795,18.05931,-66.50178,Juana Diaz,PR
901,18.46532,-66.10485,San Juan,PR
906,18.46446,-66.09499,San Juan,PR
907,18.45313,-66.07778,San Juan,PR
909,18.44153,-66.06723,San Juan,PR
911,18.45135,-66.05631,San Juan,PR
912,18.44534,-66.06018,San Juan,PR
913,18.45022,-66.04267,San Juan,PR
